strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Professor Trichome - Ice Cream Cake,Seed City Bulk Cannabis Seeds,"Visually appealing, potent seeds with high THC levels and generous yield. Ideal for collectors and cultivators seeking a unique experience.",170.0,,,100 Feminised Seeds (GBP 170.00) | 500 Feminised Seeds (GBP 807.50) | 1000 Feminised Seeds (GBP 530.00),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/professor-trichome-ice-cream-cake,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,"Feminized, Non-Autoflowering",,"Indoor, Outdoor",Normal,,"Cake, Dairy, Sweet",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Cherry Zoap Auto,Growers Choice,"Potent strain with fruity and pungent aroma. Easy to grow, high-yielding, and offers balanced, uplifting experience.",16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/growers-choice/cherry-zoap-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCherry_Zoap_Auto_648c7f1885d81_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,"Relaxing, Uplifting","Cherry, Dairy, Fruity",,,,30%+,Low,550-650 grams /m2,,90 - 110cm,90 - 110cm,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Ice,Nirvana Seeds,"Potent hybrid with dense, trichome-covered flowers. Heavy stone effect and fuel-like aroma. 1998 Cannabis Cup winner.",14.8,,,3 Feminised Seeds (GBP 14.80) | 10 Regular Seeds (GBP 22.40) | 50 Regular Seeds (GBP 106.40) | 100 Regular Seeds (GBP 201.60),https://www.seed-city.com/nirvana-seeds/ice,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FIce_56cc94eb4dcdf_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,"Depression, Euphoric, Happy, Relaxing, Stress Relief","Earthy, Lime, Minty",Relaxed Happy Euphoric,,Menthol Earthy Pine,Medium,High,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Hollands Hope,Dutch Passion Seeds,"Mold-resistant Indica strain with heavy yields, sweet smoke, and long-lasting effects. Ideal for outdoor growing.",16.96,21.2,20.0,3 Feminised Seeds (GBP 16.96) | 5 Feminised Seeds (GBP 25.68) | 10 Feminised Seeds (GBP 40.72) | 50 Feminised Seeds (GBP 193.42) | 100 Feminised Seeds (GBP 366.48) | 10 Regular Seeds (GBP 20.32) | 50 Regular Seeds (GBP 96.52) | 100 Regular Seeds (GBP 182.88),https://www.seed-city.com/dutch-passion-seeds/hollands-hope,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FHollands_Hope_56a00b4ece680_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,Indica,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),Beginning of October,,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Kali Mist,Serious Seeds,"Top Sativa strain with high yields, dense resinous buds, medicinal uses, mold resistant, multiple awards, strong uplifting high.",69.9,,,11 Regular Seeds (GBP 69.90) | 55 Regular Seeds (GBP 332.03) | 110 Regular Seeds (GBP 629.10),https://www.seed-city.com/serious-seeds/kali-mist,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FKali_Mist_56d497982bd4e_120x140.jpg&newxsize=120&newysize=140&fileout=,"Kali Mist, often hailed as the Queen of Sativas, stands out as the premier Sativa strain on the market. Characterized by its classic Sativa growth pattern, it surprises with yields higher than expected, thanks to its sparse leaves and dense, spirally buds rich in resin and with a spicy scent. Its structure promotes full development of lower branch buds due to better light penetration. Kali Mist is not only celebrated for its uplifting and energizing effects but also for its medicinal uses, particularly in managing chronic pain and menstrual cramps. It has been refined twice, in 1998 and 2000, with its latest version securing 8 out of 10 possible cups.",,,"Regular , Feminized",12/12 Photoperiod,Sativa,"F1-hybrid, almost pure Sativa",,"Indoor, Outdoor",Super Strength,"Menstrual Pain, Uplifting","Spicy, Sweet",,,,,,,,,,Tall (140cm plus),Medium (56 to 90 days),"Beginning of November, Middle of November, The End of November",,,,In Stock,,
Panama,Ace Seed bank,"Potent sativa with unique genetics, high yield, psychedelic effect, lemon-vanilla-incense aroma. Adaptable to indoor growing, high heat resistance.",32.5,,,3 Feminised Seeds (GBP 32.50) | 5 Feminised Seeds (GBP 52.80) | 25 Feminised Seeds (GBP 250.80) | 50 Feminised Seeds (GBP 475.20) | 5 Regular Seeds (GBP 36.50) | 10 Regular Seeds (GBP 64.90) | 50 Regular Seeds (GBP 308.28) | 100 Regular Seeds (GBP 584.10),https://www.seed-city.com/ace-seed-bank/panama,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPanama_55844993deae1_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,Sativa,,,"Indoor, Outdoor",Super Strength,"Motivational, Psychedelic","Citrus, Incense, Lemon, Strawberry, Sweet",,,,21.47 %,Null,,,,,,Medium (56 to 90 days),The End of October,,,,In Stock,,
Velvet Bud,Seedsman Seeds,"Smooth smoking strain with powerful, laid-back high and anti-anxiety properties. Suitable for indoor, outdoor, and greenhouse growing.",5.27,,,1 Single Feminised Seed (GBP 5.27) | 10 Feminised Seeds (GBP 29.80) | 50 Feminised Seeds (GBP 141.56) | 100 Feminised Seeds (GBP 268.20),https://www.seed-city.com/seedsman-seeds/velvet-bud,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FVelvet_Bud_57166c10017eb_120x140.jpg&newxsize=120&newysize=140&fileout=,"Velvet Bud, a refined version of Seedsman's Purple Skunk, offers a smoother smoking experience while maintaining a potent, laid-back high with anti-anxiety benefits. It's adaptable for indoor, outdoor, and greenhouse cultivation but performs best in warmer climates due to its 9-week flowering cycle. The strain's Skunk genetics enhance yield through significant side branching, contributing to its satisfying output. Despite its average size, the yield is deemed worthwhile considering Velvet Bud's superior taste and smoothness post-curing.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,,Skunky,,,,,,,,,,,Medium (56 to 90 days),The End of October,9 Weeks,End of October,,In Stock,,
Arjan's Strawberry Haze,Green House Seeds,"60% Sativa - 40% Indica. THC: 19.72%, CBD: 0.07%, CBN: 0.07%. Genetics: Swiss sativa x NL5 Haze Mist. Mild body effect, uplifting cerebral high.",22.4,,,3 Feminised Seeds (GBP 22.40) | 5 Feminised Seeds (GBP 31.20) | 10 Feminised Seeds (GBP 58.00) | 50 Feminised Seeds (GBP 275.50) | 100 Feminised Seeds (GBP 522.00),https://www.seed-city.com/green-house-seeds/arjan-s-strawberry-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FArjan_s_Strawber_56b0e1423cd0d_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Cerebral, Creative, Social, Uplifting",Strawberry,,,,,,,,,,Tall (140cm plus),Medium (56 to 90 days),Middle of October,,,,In Stock,,Most Popular Cannabis Seeds
Wappa,Paradise Seeds,"Stout Indica with short indoor size, fast yield, fruity nugs, intense high. Easy to grow, high calyx-to-leaf ratio, deep fruit taste.",29.9,,,5 Feminised Seeds (GBP 29.90) | 25 Feminised Seeds (GBP 142.03) | 50 Feminised Seeds (GBP 269.10),https://www.seed-city.com/paradise-seeds/wappa,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWappa_56f93c71eddc3_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Happy, Relaxing","Fruity, Sweet","Happy, Energetic",,,,,,,,,Short (up to 80cm),Medium (56 to 90 days),Middle of October,55-60 Days,,,In Stock,,
Opium,Paradise Seeds,"Versatile plant with big buds, thrives indoors in 60 days. Ideal for hydroponics. Outdoors, grows tall in warm climates. Fruity, creamy smoke, strong high.",9.58,,,1 Single Feminised Seed (GBP 9.58) | 5 Feminised Seeds (GBP 39.90) | 25 Feminised Seeds (GBP 189.53) | 50 Feminised Seeds (GBP 359.10),https://www.seed-city.com/paradise-seeds/opium,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FOpium_56f93a1317a36_120x140.jpg&newxsize=120&newysize=140&fileout=,"Opium is a High Times Cannabis Cup prize winner, developed over several generations from classic genetic lines. It grows strong with a thick stem and bushy branches, producing large, trichome-rich buds. With a 60-day flowering period, it's ideal for indoor gardens, responding well to various training methods, especially hydroponic systems. In warm climates, Opium thrives outdoors, becoming more tree-like, perfect for regions like southern France, Spain, and California. However, its large buds may pose a challenge in wetter, northern climates.
The smoking experience combines a fast sativa onset with a lasting indica intensity, highlighted by a creamy, fruity flavor reminiscent of a favorite cocktail.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,Cerebral,"Dairy, Fruity, Grape","Visual, Cerebral",,,,,,,,,,Medium (56 to 90 days),Middle of October,60 Days,,,In Stock,,
Purple Haze,G13 Labs Seeds,"Hybrid strain with potent high, resinous buds, compact size. Color changes in cold, subtle smell while growing, rich and sharp when harvested.",33.98,,,5 Feminised Seeds (GBP 33.98) | 25 Feminised Seeds (GBP 161.41) | 50 Feminised Seeds (GBP 305.82),https://www.seed-city.com/g13-labs-seeds/purple-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_Haze_5702b3c65bdfc_120x140.jpg&newxsize=120&newysize=140&fileout=,"Purple Haze is a unique cannabis hybrid known for its Haze high and Indica-like resin production. It stands out for its beautiful appearance, featuring long buds covered in a sticky coat of trichomes and a darker green color than most Sativas, resembling Afghan varieties. This strain undergoes a stunning transformation in color to shades of lavender, violet, or blue when exposed to cooler temperatures during the late flowering stage. Although it has a subtle aroma during growth, Purple Haze releases a rich, sharp scent once harvested and dried.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Hawaii Maui Waui,Nirvana Seeds,"Sativa strain with tropical flavors, inspiring high, and high CBD content. Tall plant with resin-covered buds, suitable for indoor and outdoor cultivation.",14.8,,,3 Feminised Seeds (GBP 14.80) | 5 Feminised Seeds (GBP 22.40) | 10 Feminised Seeds (GBP 40.20) | 50 Feminised Seeds (GBP 190.95) | 100 Feminised Seeds (GBP 361.80) | 10 Regular Seeds (GBP 22.40) | 50 Regular Seeds (GBP 106.40) | 100 Regular Seeds (GBP 201.60),https://www.seed-city.com/nirvana-seeds/hawaii-maui-waui,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FHawaii_Maui_Waui_5705398417496_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Euphoric, Happy","Citrus, Fruity, Sweet",Happy Uplifted Euphoric,,Tropical Sweet Citrus,Medium,High,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
LA Cheese,Big Buddha Seeds,"Potent indica plant with dense nuggets, OG Kush and UK Cheese flavors. Award-winning genetics, 90% Indica, 10% Sativa.",25.6,32.0,20.0,5 Feminised Seeds (GBP 25.60),https://www.seed-city.com/big-buddha-seeds/la-cheese,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLA_Cheese_4fd78552189cf_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,"Dairy, Fruity, Sweet",,,,,,,,,,,Medium (56 to 90 days),The End of October,Indoors - 55-70 days 8-10 weeks / Outdoors end of October,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Big Devil XL Auto,Sweet Seeds,3rd gen hybrid with increased height and bud density. Aromatic resin-filled buds with incense and lemon scent. Indoor yield of 425-650g/m2.,10.32,,,1 Single Feminised Seed (GBP 10.32) | 3 Feminised Seeds (GBP 26.00) | 5 Feminised Seeds (GBP 43.00) | 25 Feminised Seeds (GBP 82.60) | 125 Feminised Seeds (GBP 392.35) | 250 Feminised Seeds (GBP 743.40),https://www.seed-city.com/sweet-seeds/big-devil-xl-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBig_Devil_XL_4fbec7026905e_120x140.jpg&newxsize=120&newysize=140&fileout=,"3rd generation Autoflowering hybrid developed from crossing Big Devil #2 with Jack Herer auto by the Sweet Seeds R & D department. It features increased height, ranging between 110 and 160cm, with numerous, large side branches. The buds are thicker, denser, and rich in aromatic resin with an incense aroma and a citric lemon hint.",,,Feminized,Autoflowering,,,,"Indoor, Outdoor",Normal,,"Citrus, Incense, Lemon",,,,,,,,,,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),,,,,In Stock,,
Triple Cheese,Barneys Farm Seeds,"Potent, easy-to-grow plant with dense buds, blueberry and Old Cheese taste. Strong dank cheese flavor, 20% Sativa 80% Indica ratio.",23.4,,,3 Feminised Seeds (GBP 23.40),https://www.seed-city.com/barneys-farm-seeds/triple-cheese,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTriple_Cheese_5c0f2908db990_120x140.jpg&newxsize=120&newysize=140&fileout=,"The Triple Cheese strain is a potent combination of BLUE CHEESE and Original Cheese (Skunk#1 phenotype), meticulously crafted through generations of selections and backcrossing. This strain impresses with its easy cultivation, dense buds, and a unique blend of blueberry and Old Cheese flavors, with a strong lean towards dank cheese in taste. Predominantly Indica, it has a ratio of 20% Sativa to 80% Indica.
For storage, Triple Cheese seeds should be kept in a cool, dark, and airtight container, ideally refrigerated, without freezing, and properly labeled with the date.",,,Feminized,12/12 Photoperiod,Indica Dominant,Feminised,,"Indoor, Outdoor",Super Strength,Happy,"Berry, Cheese, Dairy, Herbal, Sour, Sweet","Tingly Arousal, Body High, Long Lasting, Happy",,,,,,,,,Medium (81cm - 140cm),Short (up to 55 days),Middle of September,,,,In Stock,,
Snow White,Spliff Seeds,"Potent indica-dominant strain with high THC levels, ideal for muscle spasms, depression, stress. Easy to grow indoors/outdoors, short flowering time.",16.6,,,3 Feminised Seeds (GBP 16.60) | 5 Feminised Seeds (GBP 24.20) | 25 Feminised Seeds (GBP 114.95) | 50 Feminised Seeds (GBP 217.80),https://www.seed-city.com/spliff-seeds/snow-white,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSnow_White_54d018e8f0d6d_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,"Depression, Narcotic, Nausea, Spasm Relief, Stress Relief","Earthy, Sweet",,,,,,,,,,Short (up to 80cm),Medium (56 to 90 days),"The End of September, Beginning of October",,,,In Stock,,
Cotton Candy Cane,Emerald Triangle Seeds,"High yielding plant with vigorous growth. Resistant to mold and mildew. Good for appetite stimulation, pain relief, stress. Harvest in early October.",7.56,,,1 Single Feminised Seed (GBP 7.56) | 3 Feminised Seeds (GBP 18.90) | 5 Feminised Seeds (GBP 29.40) | 10 Feminised Seeds (GBP 57.76) | 50 Feminised Seeds (GBP 274.36) | 100 Feminised Seeds (GBP 519.84),https://www.seed-city.com/emerald-triangle-seeds/cotton-candy-cane,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCotton_Candy_Can_54f4d7971f570_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,"Berry, Sweet",,,"Berry, Sweet",,,,,,,,Medium (56 to 90 days),Beginning of October,,,,In Stock,,
Grizzly Purple Kush,BlimBurn Seeds,Powerful strain with high THC levels. Versatile for indoor and outdoor growing. Known for stress and pain relief. Indoor yield of 550 gr/m2.,18.8,,,3 Feminised Seeds (GBP 18.80) | 6 Feminised Seeds (GBP 34.80),https://www.seed-city.com/blimburn-seeds/grizzly-purple-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGrizzly_Purple_K_5693f7a02e203_120x140.png&newxsize=120&newysize=140&fileout=,"Grizzly Purple Kush is recognized for its strong, heavy taste accompanied by a sweet, flowery aroma. It's distinguished by its very high THC content, with effects that typically last around one to two hours. This strain is highly potent and versatile, performing well in both indoor and outdoor settings. It's particularly effective in screen of green (SCROG) or sea of green (SOG) setups. Grizzly Purple Kush is popular for its powerful, relaxing effect, making it a preferred choice for medical cannabis users seeking relief from stress, severe pain, or sleep loss.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,"General Pain, Insomnia, Relaxing, Stress Relief",,,,,,,,,,,,Medium (56 to 90 days),Middle of September,,,,In Stock,,
